timestamp_ns,module,scope,kind,value
2509172284247666,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172300021125,SystemManagerTick,ExecuteTick,ns,4429750.000000
2509172307005375,SystemManagerTick,ExecuteTick,ns,1417.000000
2509172321441375,SystemManagerTick,ExecuteTick,ns,3979875.000000
2509172327488291,SystemManagerTick,ExecuteTick,ns,1208.000000
2509172343450041,SystemManagerTick,ExecuteTick,ns,3613875.000000
2509172351440166,SystemManagerTick,ExecuteTick,ns,875.000000
2509172366539833,SystemManagerTick,ExecuteTick,ns,4545250.000000
2509172373384875,SystemManagerTick,ExecuteTick,ns,3792.000000
2509172388523541,SystemManagerTick,ExecuteTick,ns,4065458.000000
2509172395141583,SystemManagerTick,ExecuteTick,ns,917.000000
2509172409312041,SystemManagerTick,ExecuteTick,ns,3733667.000000
2509172417166166,SystemManagerTick,ExecuteTick,ns,1125.000000
2509172433225833,SystemManagerTick,ExecuteTick,ns,3833625.000000
2509172440954250,SystemManagerTick,ExecuteTick,ns,2375.000000
2509172457140666,SystemManagerTick,ExecuteTick,ns,3678666.000000
2509172465050916,SystemManagerTick,ExecuteTick,ns,1625.000000
2509172481781500,SystemManagerTick,ExecuteTick,ns,4212917.000000
2509172489026000,SystemManagerTick,ExecuteTick,ns,1208.000000
2509172504044000,SystemManagerTick,ExecuteTick,ns,4172875.000000
2509172511339000,SystemManagerTick,ExecuteTick,ns,1083.000000
2509172528086208,SystemManagerTick,ExecuteTick,ns,4241542.000000
2509172534707166,SystemManagerTick,ExecuteTick,ns,1209.000000
2509172550132416,SystemManagerTick,ExecuteTick,ns,4052958.000000
2509172557574125,SystemManagerTick,ExecuteTick,ns,1000.000000
2509172574343916,SystemManagerTick,ExecuteTick,ns,4263375.000000
2509172581538833,SystemManagerTick,ExecuteTick,ns,1500.000000
2509172597828875,SystemManagerTick,ExecuteTick,ns,3783416.000000
2509172605620875,SystemManagerTick,ExecuteTick,ns,1583.000000
2509172622358916,SystemManagerTick,ExecuteTick,ns,4232916.000000
2509172628470250,SystemManagerTick,ExecuteTick,ns,1000.000000
2509172643814250,SystemManagerTick,ExecuteTick,ns,4227375.000000
2509172649814416,SystemManagerTick,ExecuteTick,ns,1042.000000
2509172666259625,SystemManagerTick,ExecuteTick,ns,4430792.000000
2509172672178791,SystemManagerTick,ExecuteTick,ns,1417.000000
2509172687307666,SystemManagerTick,ExecuteTick,ns,4170166.000000
2509172694605416,SystemManagerTick,ExecuteTick,ns,959.000000
2509172710215625,SystemManagerTick,ExecuteTick,ns,3796708.000000
2509172716473041,SystemManagerTick,ExecuteTick,ns,917.000000
2509172733010583,SystemManagerTick,ExecuteTick,ns,4538708.000000
2509172739845875,SystemManagerTick,ExecuteTick,ns,1834.000000
2509172756838708,SystemManagerTick,ExecuteTick,ns,4488583.000000
2509172763751000,SystemManagerTick,ExecuteTick,ns,4709.000000
2509172780180291,SystemManagerTick,ExecuteTick,ns,3928625.000000
2509172787799625,SystemManagerTick,ExecuteTick,ns,2584.000000
2509172804789500,SystemManagerTick,ExecuteTick,ns,4479042.000000
2509172811699958,SystemManagerTick,ExecuteTick,ns,1292.000000
2509172827456375,SystemManagerTick,ExecuteTick,ns,3914292.000000
2509172835084250,SystemManagerTick,ExecuteTick,ns,1417.000000
2509172849604416,SystemManagerTick,ExecuteTick,ns,4430625.000000
2509172856573708,SystemManagerTick,ExecuteTick,ns,1459.000000
2509172873010041,SystemManagerTick,ExecuteTick,ns,3930292.000000
2509172880088833,SystemManagerTick,ExecuteTick,ns,2042.000000
2509172894941166,SystemManagerTick,ExecuteTick,ns,4236916.000000
2509172902159375,SystemManagerTick,ExecuteTick,ns,1792.000000
2509172918552541,SystemManagerTick,ExecuteTick,ns,3884250.000000
2509172926207250,SystemManagerTick,ExecuteTick,ns,3583.000000
2509172942318875,SystemManagerTick,ExecuteTick,ns,4541917.000000
2509172949154041,SystemManagerTick,ExecuteTick,ns,875.000000
2509172966253458,SystemManagerTick,ExecuteTick,ns,4589750.000000
2509172973037750,SystemManagerTick,ExecuteTick,ns,1500.000000
2509172989194333,SystemManagerTick,ExecuteTick,ns,4006708.000000
2509172996706833,SystemManagerTick,ExecuteTick,ns,1417.000000
2509173012441291,SystemManagerTick,ExecuteTick,ns,4587459.000000
2509173019227875,SystemManagerTick,ExecuteTick,ns,1500.000000
2509173036032875,SystemManagerTick,ExecuteTick,ns,4331417.000000
2509173042743583,SystemManagerTick,ExecuteTick,ns,3208.000000
2509173059041250,SystemManagerTick,ExecuteTick,ns,3794208.000000
2509173066524958,SystemManagerTick,ExecuteTick,ns,1334.000000
2509173083565958,SystemManagerTick,ExecuteTick,ns,4528666.000000
2509173090416500,SystemManagerTick,ExecuteTick,ns,1917.000000
2509173106895416,SystemManagerTick,ExecuteTick,ns,3975167.000000
2509173114442333,SystemManagerTick,ExecuteTick,ns,1250.000000
2509173129499583,SystemManagerTick,ExecuteTick,ns,4149208.000000
2509173136823583,SystemManagerTick,ExecuteTick,ns,3334.000000
2509173151201708,SystemManagerTick,ExecuteTick,ns,3581750.000000
2509173159237083,SystemManagerTick,ExecuteTick,ns,917.000000
2509173176267791,SystemManagerTick,ExecuteTick,ns,4525667.000000
2509173183120833,SystemManagerTick,ExecuteTick,ns,1250.000000
2509173197943875,SystemManagerTick,ExecuteTick,ns,4504833.000000
2509173203519000,SystemManagerTick,ExecuteTick,ns,1292.000000
2509173217876333,SystemManagerTick,ExecuteTick,ns,4289459.000000
2509173225021333,SystemManagerTick,ExecuteTick,ns,1042.000000
2509173242025833,SystemManagerTick,ExecuteTick,ns,4498708.000000
2509173248909166,SystemManagerTick,ExecuteTick,ns,1250.000000
2509173265397333,SystemManagerTick,ExecuteTick,ns,3984000.000000
2509173272938458,SystemManagerTick,ExecuteTick,ns,1416.000000
2509173289456291,SystemManagerTick,ExecuteTick,ns,4012583.000000
2509173296967583,SystemManagerTick,ExecuteTick,ns,2125.000000
2509173313705000,SystemManagerTick,ExecuteTick,ns,4232792.000000
2509173320934458,SystemManagerTick,ExecuteTick,ns,2083.000000
2509173337587250,SystemManagerTick,ExecuteTick,ns,4149584.000000
2509173344908125,SystemManagerTick,ExecuteTick,ns,1292.000000
2509173360958291,SystemManagerTick,ExecuteTick,ns,4172833.000000
2509173368251875,SystemManagerTick,ExecuteTick,ns,958.000000
2509173382729750,SystemManagerTick,ExecuteTick,ns,4223083.000000
2509173389988708,SystemManagerTick,ExecuteTick,ns,2000.000000
2509173404685583,SystemManagerTick,ExecuteTick,ns,4326250.000000
2509173411793250,SystemManagerTick,ExecuteTick,ns,1458.000000
2509173426196208,SystemManagerTick,ExecuteTick,ns,3596875.000000
2509173434204833,SystemManagerTick,ExecuteTick,ns,875.000000
2509173449702000,SystemManagerTick,ExecuteTick,ns,3591292.000000
2509173457723541,SystemManagerTick,ExecuteTick,ns,1458.000000
2509173473057250,SystemManagerTick,ExecuteTick,ns,4438584.000000
2509173479450541,SystemManagerTick,ExecuteTick,ns,2583.000000
2509173494045875,SystemManagerTick,ExecuteTick,ns,3656291.000000
2509173501998208,SystemManagerTick,ExecuteTick,ns,2083.000000
2509173517072250,SystemManagerTick,ExecuteTick,ns,4197416.000000
2509173523156250,SystemManagerTick,ExecuteTick,ns,1333.000000
2509173539088708,SystemManagerTick,ExecuteTick,ns,3696625.000000
2509173546989250,SystemManagerTick,ExecuteTick,ns,1250.000000
2509173561841875,SystemManagerTick,ExecuteTick,ns,3838166.000000
2509173569552125,SystemManagerTick,ExecuteTick,ns,1250.000000
2509173584922750,SystemManagerTick,ExecuteTick,ns,3599792.000000
2509173592820250,SystemManagerTick,ExecuteTick,ns,1042.000000
2509173609190458,SystemManagerTick,ExecuteTick,ns,3866000.000000
2509173616866125,SystemManagerTick,ExecuteTick,ns,1584.000000
2509173633912083,SystemManagerTick,ExecuteTick,ns,4531875.000000
2509173639739458,SystemManagerTick,ExecuteTick,ns,1708.000000
2509173656249916,SystemManagerTick,ExecuteTick,ns,4005875.000000
2509173663752541,SystemManagerTick,ExecuteTick,ns,1042.000000
2509173680890125,SystemManagerTick,ExecuteTick,ns,4632625.000000
2509173687624083,SystemManagerTick,ExecuteTick,ns,1584.000000
2509173703793208,SystemManagerTick,ExecuteTick,ns,3947791.000000
2509173711367875,SystemManagerTick,ExecuteTick,ns,1000.000000
2509173726696166,SystemManagerTick,ExecuteTick,ns,4623083.000000
2509173733170291,SystemManagerTick,ExecuteTick,ns,1375.000000
2509173749160041,SystemManagerTick,ExecuteTick,ns,3991500.000000
2509173756692333,SystemManagerTick,ExecuteTick,ns,1500.000000
2509173773182541,SystemManagerTick,ExecuteTick,ns,3984167.000000
2509173780718916,SystemManagerTick,ExecuteTick,ns,1708.000000
2509173797427041,SystemManagerTick,ExecuteTick,ns,4200083.000000
2509173804686250,SystemManagerTick,ExecuteTick,ns,1708.000000
2509173820787416,SystemManagerTick,ExecuteTick,ns,3591458.000000
2509173828805791,SystemManagerTick,ExecuteTick,ns,2250.000000
2509173844103958,SystemManagerTick,ExecuteTick,ns,4177625.000000
2509173851395333,SystemManagerTick,ExecuteTick,ns,1958.000000
2509173866926083,SystemManagerTick,ExecuteTick,ns,4169083.000000
2509173874234958,SystemManagerTick,ExecuteTick,ns,1750.000000
2509173889576958,SystemManagerTick,ExecuteTick,ns,4218583.000000
2509173896810875,SystemManagerTick,ExecuteTick,ns,1625.000000
2509173913526166,SystemManagerTick,ExecuteTick,ns,4208167.000000
2509173920776333,SystemManagerTick,ExecuteTick,ns,2291.000000
2509173937416875,SystemManagerTick,ExecuteTick,ns,4136791.000000
2509173944644416,SystemManagerTick,ExecuteTick,ns,1375.000000
2509173960701041,SystemManagerTick,ExecuteTick,ns,4137875.000000
2509173967941625,SystemManagerTick,ExecuteTick,ns,1209.000000
2509173983656083,SystemManagerTick,ExecuteTick,ns,4223667.000000
2509173990887375,SystemManagerTick,ExecuteTick,ns,1792.000000
2509174007424625,SystemManagerTick,ExecuteTick,ns,4033750.000000
2509174014369833,SystemManagerTick,ExecuteTick,ns,1792.000000
2509174031127250,SystemManagerTick,ExecuteTick,ns,4251000.000000
2509174038342250,SystemManagerTick,ExecuteTick,ns,1583.000000
2509174053412125,SystemManagerTick,ExecuteTick,ns,3574542.000000
2509174061451000,SystemManagerTick,ExecuteTick,ns,1209.000000
2509174078099458,SystemManagerTick,ExecuteTick,ns,4143584.000000
2509174085431250,SystemManagerTick,ExecuteTick,ns,2458.000000
2509174101691208,SystemManagerTick,ExecuteTick,ns,4141417.000000
2509174108662458,SystemManagerTick,ExecuteTick,ns,1584.000000
2509174124684791,SystemManagerTick,ExecuteTick,ns,3664958.000000
2509174132621208,SystemManagerTick,ExecuteTick,ns,1833.000000
2509174148233750,SystemManagerTick,ExecuteTick,ns,4238959.000000
2509174155452041,SystemManagerTick,ExecuteTick,ns,1417.000000
2509174171606041,SystemManagerTick,ExecuteTick,ns,3648917.000000
2509174179573083,SystemManagerTick,ExecuteTick,ns,4042.000000
2509174194693208,SystemManagerTick,ExecuteTick,ns,3613084.000000
2509174201158625,SystemManagerTick,ExecuteTick,ns,750.000000
2509174217486375,SystemManagerTick,ExecuteTick,ns,3853500.000000
2509174225194583,SystemManagerTick,ExecuteTick,ns,4667.000000
2509174242292708,SystemManagerTick,ExecuteTick,ns,4590375.000000
2509174249074625,SystemManagerTick,ExecuteTick,ns,1375.000000
